Sl No.,BBMP Code,Job Number,Work Order Number,Work Order Date,Total Amount in Rs,Deduction in Rs,Net Payment in Rs ,Work Order Details,Contractor
1,303,303-15-000013,WO-000002,25/06/2015,165000,16500,148500,Proposal for Fire Fighting Consultant for Multi storied Subhash Chandra Bose Public Utility Building M G Road Bangalore,M/s Z-axis Engineering soloutions
2,303,303-12-000006,WO-000002,30/09/2015,3048823,304882,2743941,Consultancy charges (DPR) towards Construction of parking building at Freedom park,Mathew and Ghosh Architects Pvt. ltd
3,303,R-303-11-000034,WO-000001,29/10/2015,88484,8850,79634,"Construction of 20M corridor from 29th cross,BTM layout JN to hosur road along madivala tank bund",Manasa consultants
4,303,R-303-11-000034,WO-000001,29/10/2015,7929258,158585,7770673,"Construction of 20M corridor from 29th cross,BTM layout JN to hosur road along madivala tank bund",M/s PMJ Construction Pvt Ltd.
5,303,R-303-11-000034,WO-000001,29/10/2015,88484,8850,79634,"Construction of 20M corridor from 29th cross,BTM layout JN to hosur road along madivala tank bund",Manasa consultants
6,303,R-303-11-000034,WO-000001,29/10/2015,7929258,158585,7770673,"Construction of 20M corridor from 29th cross,BTM layout JN to hosur road along madivala tank bund",M/s PMJ Construction Pvt Ltd.
7,303,303-15-000009,WO-000005,17/12/2015,970115,64035,906080,Improvements to Kempegowda Mussum and Providing Grill at Museum Park,M S Raju
1,303,303-14-000007,WO-000004,06/02/2016,21229400,3099500,18129900,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
2,303,303-14-000007,WO-000004,06/02/2016,28675800,4186675,24489125,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3,303,303-14-000007,WO-000004,06/02/2016,30573200,4463700,26109500,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
4,303,303-14-000007,WO-000004,06/02/2016,684021,68402,615619,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
5,303,303-14-000007,WO-000004,06/02/2016,31002800,4884386,26118414,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
6,303,303-14-000007,WO-000004,06/02/2016,30322600,4427255,25895345,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
7,303,303-14-000007,WO-000004,06/02/2016,29356000,4285980,25070020,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
8,303,303-14-000007,WO-000004,06/02/2016,684021,68405,615616,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
9,303,303-14-000007,WO-000004,06/02/2016,652650,65265,587385,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
10,303,303-14-000007,WO-000004,06/02/2016,145215,10812,134403,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
11,303,303-14-000007,WO-000004,06/02/2016,21551600,3196540,18355060,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
12,303,303-14-000007,WO-000004,06/02/2016,22697200,3363791,19333409,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
13,303,303-14-000007,WO-000004,06/02/2016,652650,65265,587385,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
14,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
15,303,303-14-000007,WO-000004,06/02/2016,27780800,3716791,24064009,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
16,303,303-14-000007,WO-000004,06/02/2016,684020,68402,615618,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
17,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
18,303,303-14-000007,WO-000004,06/02/2016,53843200,6919414,46923786,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
19,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
20,303,303-14-000007,WO-000004,06/02/2016,655500,65550,589950,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
21,303,303-14-000007,WO-000004,06/02/2016,171005,17100,153905,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
22,303,303-14-000007,WO-000004,06/02/2016,21229400,3099500,18129900,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
23,303,303-14-000007,WO-000004,06/02/2016,28675800,4186675,24489125,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
24,303,303-14-000007,WO-000004,06/02/2016,30573200,4463700,26109500,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
25,303,303-14-000007,WO-000004,06/02/2016,684021,68402,615619,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
26,303,303-14-000007,WO-000004,06/02/2016,31002800,4884386,26118414,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
27,303,303-14-000007,WO-000004,06/02/2016,30322600,4427255,25895345,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
28,303,303-14-000007,WO-000004,06/02/2016,29356000,4285980,25070020,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
29,303,303-14-000007,WO-000004,06/02/2016,684021,68405,615616,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
30,303,303-14-000007,WO-000004,06/02/2016,652650,65265,587385,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
31,303,303-14-000007,WO-000004,06/02/2016,145215,10812,134403,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
32,303,303-14-000007,WO-000004,06/02/2016,21551600,3196540,18355060,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
33,303,303-14-000007,WO-000004,06/02/2016,22697200,3363791,19333409,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
34,303,303-14-000007,WO-000004,06/02/2016,652650,65265,587385,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
35,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
